Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.075	0.09	0.1455	0.2103	0.1194	0.8802	0.069	0.6714	0.0363	
0.075	0.095	0.1589	0.208	0.1184	0.8542	0.1034	0.72	0.0557	
0.075	0.1	0.167	0.2076	0.1183	0.8438	0.1221	0.7414	0.0665	
0.075	0.105	0.167	0.2045	0.1167	0.8281	0.1258	0.7295	0.0688	
0.075	0.11	0.1663	0.2023	0.1154	0.8177	0.1269	0.72	0.0696	
0.075	0.115	0.1657	0.2012	0.1148	0.8125	0.1268	0.7143	0.0696	
0.075	0.12	0.1657	0.2012	0.1148	0.8125	0.1268	0.7143	0.0696	
0.075	0.125	0.1643	0.1988	0.1135	0.8021	0.1267	0.7031	0.0696	
0.075	0.13	0.163	0.1965	0.1122	0.7917	0.1265	0.6923	0.0696	
0.075	0.135	0.163	0.1965	0.1122	0.7917	0.1265	0.6923	0.0696	
0.075	0.14	0.1616	0.1942	0.1109	0.7812	0.1263	0.6818	0.0696	
0.075	0.145	0.1609	0.193	0.1102	0.776	0.1262	0.6767	0.0696	
0.075	0.15	0.1609	0.193	0.1102	0.776	0.1262	0.6767	0.0696	
0.08	0.04	0.1354	0.2302	0.1301	1.0	0.0138	1.0	0.007	
0.08	0.045	0.1354	0.2302	0.1301	1.0	0.0138	1.0	0.007	
0.08	0.05	0.1354	0.2302	0.1301	1.0	0.0138	1.0	0.007	
0.08	0.055	0.136	0.2304	0.1302	1.0	0.0153	1.0	0.0077	
0.08	0.06	0.136	0.2294	0.1297	0.9948	0.0169	0.9167	0.0085	
0.08	0.065	0.1374	0.2297	0.1298	0.9948	0.0199	0.9286	0.0101	
0.08	0.07	0.1367	0.2258	0.1277	0.974	0.0244	0.7619	0.0124	
0.08	0.075	0.1327	0.2184	0.1236	0.9375	0.0257	0.5862	0.0131	
0.08	0.08	0.1327	0.2098	0.1189	0.8906	0.0388	0.5532	0.0201	
0.08	0.085	0.1434	0.209	0.1186	0.875	0.0661	0.6522	0.0348	
0.08	0.09	0.1556	0.2053	0.1169	0.8438	0.0991	0.697	0.0534	
0.08	0.095	0.1818	0.2054	0.1174	0.8177	0.1568	0.7635	0.0874	
0.08	0.1	0.2	0.2069	0.1187	0.8073	0.1929	0.7933	0.1098	
0.08	0.105	0.2034	0.2044	0.1174	0.7917	0.2023	0.7895	0.116	
0.08	0.11	0.202	0.2009	0.1154	0.776	0.2031	0.7784	0.1168	
0.08	0.115	0.2013	0.1997	0.1147	0.7708	0.203	0.7744	0.1168	
0.08	0.12	0.2007	0.1985	0.114	0.7656	0.2028	0.7704	0.1168	
0.08	0.125	0.1993	0.1961	0.1127	0.7552	0.2025	0.7626	0.1168	
0.08	0.13	0.198	0.1936	0.1113	0.7448	0.2023	0.755	0.1168	
0.08	0.135	0.198	0.1936	0.1113	0.7448	0.2023	0.755	0.1168	
0.08	0.14	0.1966	0.1912	0.1099	0.7344	0.202	0.7475	0.1168	
0.08	0.145	0.196	0.19	0.1092	0.7292	0.2019	0.7438	0.1168	
0.08	0.15	0.196	0.19	0.1092	0.7292	0.2019	0.7438	0.1168	
0.085	0.04	0.1367	0.2305	0.1303	1.0	0.0169	1.0	0.0085	
0.085	0.045	0.1367	0.2305	0.1303	1.0	0.0169	1.0	0.0085	
0.085	0.05	0.1374	0.2306	0.1303	1.0	0.0184	1.0	0.0093	
0.085	0.055	0.138	0.2308	0.1304	1.0	0.0199	1.0	0.0101	
0.085	0.06	0.1374	0.2288	0.1293	0.9896	0.0214	0.875	0.0108	
0.085	0.065	0.1387	0.2291	0.1295	0.9896	0.0244	0.8889	0.0124	
0.085	0.07	0.1374	0.2232	0.1263	0.9583	0.0303	0.7143	0.0155	
0.085	0.075	0.1347	0.216	0.1223	0.9219	0.0346	0.6053	0.0178	
0.085	0.08	0.136	0.2075	0.1177	0.875	0.0503	0.5862	0.0263	
0.085	0.085	0.1502	0.2073	0.1179	0.8594	0.0842	0.6824	0.0449	
0.085	0.09	0.1731	0.2057	0.1174	0.8281	0.1376	0.7481	0.0758	
0.085	0.095	0.2249	0.2111	0.1215	0.8021	0.2383	0.8257	0.1392	
0.085	0.1	0.2566	0.2137	0.1238	0.7812	0.295	0.8462	0.1787	
0.085	0.105	0.2646	0.211	0.1225	0.7604	0.3115	0.843	0.191	
0.085	0.11	0.264	0.2062	0.1198	0.7396	0.3139	0.8333	0.1933	
0.085	0.115	0.262	0.2023	0.1176	0.724	0.3133	0.8251	0.1933	
0.085	0.12	0.2606	0.1997	0.1161	0.7135	0.3129	0.8197	0.1933	
0.085	0.125	0.2593	0.1971	0.1146	0.7031	0.3125	0.8143	0.1933	
