Path	Red F1
LOSS1.11_8DBS6.5_8CHS1487.63_LATENT8_STDEV0.05_BS128_E5_LR0.0005_ACTrelu	0.4037	
LOSS1.14_8DBS6.88_8CHS1308.49_LATENT8_STDEV0.5_BS128_E30_LR0.005_ACTtanh	0.2287	
LOSS1.18_8DBS6.65_8CHS1416.91_LATENT8_STDEV0.5_BS128_E30_LR0.001_ACTrelu	0.2287	
LOSS1.22_8DBS5.46_8CHS2121.41_LATENT8_STDEV0.5_BS128_E1_LR0.001_ACTrelu	0.2287	
LOSS1.24_8DBS6.65_8CHS1416.31_LATENT8_STDEV0.5_BS128_E10_LR0.001_ACTtanh	0.2287	
LOSS1.26_8DBS6.49_8CHS1517.37_LATENT8_STDEV0.5_BS128_E5_LR0.001_ACTrelu	0.2316	
LOSS1.31_8DBS6.82_8CHS1340.05_LATENT8_STDEV0.5_BS128_E10_LR0.001_ACTrelu	0.0508	
LOSS1.32_8DBS4.56_8CHS3070.91_LATENT8_STDEV0.5_BS128_E1_LR0.0005_ACTrelu	0.2287	
LOSS1.35_8DBS4.65_8CHS3693.21_LATENT8_STDEV0.05_BS128_E10_LR0.0005_ACTrelu	0.2287	
LOSS1.35_8DBS6.87_8CHS1333.62_LATENT8_STDEV0.5_BS128_E30_LR0.001_ACTtanh	0.2287	
LOSS1.3_8DBS6.83_8CHS1358.64_LATENT8_STDEV0.5_BS128_E5_LR0.0005_ACTrelu	0.2287	
LOSS1.43_8DBS5.99_8CHS1755.9_LATENT8_STDEV0.5_BS128_E1_LR0.001_ACTtanh	0.2287	
LOSS1.45_8DBS6.84_8CHS1394.6_LATENT8_STDEV0.5_BS128_E5_LR0.001_ACTtanh	0.2287	
LOSS1.48_8DBS6.72_8CHS1392.61_LATENT8_STDEV0.5_BS128_E10_LR0.0005_ACTrelu	0.2319	
LOSS1.5_8DBS6.72_8CHS1390.22_LATENT8_STDEV0.5_BS128_E30_LR0.0005_ACTrelu	0.2357	
LOSS1.61_8DBS6.97_8CHS1298.26_LATENT8_STDEV0.5_BS128_E10_LR0.0005_ACTtanh	0.2287	
LOSS1.67_8DBS6.61_8CHS1449.13_LATENT8_STDEV0.5_BS128_E5_LR0.0005_ACTtanh	0.2287	
LOSS1.8_8DBS6.67_8CHS1406.58_LATENT8_STDEV0.5_BS128_E30_LR0.0005_ACTtanh	0.2287	
LOSS2.16_8DBS4.33_8CHS3399.94_LATENT8_STDEV0.5_BS128_E1_LR0.0005_ACTtanh	0.2287	
