Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.4	0.11	0.1677	0.237	0.1345	1.0	0.0844	1.0	0.0441	
0.41	0.11	0.1684	0.2372	0.1345	1.0	0.0859	1.0	0.0449	
0.42	0.11	0.1684	0.2372	0.1345	1.0	0.0859	1.0	0.0449	
0.43	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
0.44	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
0.45	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
0.46	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
0.47	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
0.48	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
0.49	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
0.5	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.51	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.52	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.53	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.54	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.55	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.56	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.57	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.58	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.59	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.6	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.61	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.62	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.63	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.64	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.65	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.66	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.67	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.68	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.69	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.7	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.71	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.72	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.73	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.74	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.75	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.76	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.77	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.78	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.79	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.8	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.81	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.82	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.83	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.84	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.85	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.86	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.87	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.88	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.89	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.9	0.11	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.1	0.12	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.11	0.12	0.1556	0.2344	0.1328	1.0	0.0586	1.0	0.0302	
0.12	0.12	0.1596	0.2353	0.1333	1.0	0.0673	1.0	0.0348	
0.13	0.12	0.1636	0.2362	0.1339	1.0	0.0759	1.0	0.0394	
0.14	0.12	0.167	0.2369	0.1344	1.0	0.083	1.0	0.0433	
0.15	0.12	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.16	0.12	0.1697	0.2375	0.1347	1.0	0.0887	1.0	0.0464	
0.17	0.12	0.171	0.2378	0.1349	1.0	0.0915	1.0	0.048	
0.18	0.12	0.1717	0.2379	0.135	1.0	0.0929	1.0	0.0487	
0.19	0.12	0.1717	0.2379	0.135	1.0	0.0929	1.0	0.0487	
0.2	0.12	0.1717	0.2379	0.135	1.0	0.0929	1.0	0.0487	
0.21	0.12	0.1724	0.2381	0.1351	1.0	0.0943	1.0	0.0495	
0.22	0.12	0.1731	0.2382	0.1352	1.0	0.0957	1.0	0.0503	
0.23	0.12	0.1731	0.2382	0.1352	1.0	0.0957	1.0	0.0503	
0.24	0.12	0.1731	0.2382	0.1352	1.0	0.0957	1.0	0.0503	
0.25	0.12	0.1731	0.2382	0.1352	1.0	0.0957	1.0	0.0503	
0.26	0.12	0.1731	0.2382	0.1352	1.0	0.0957	1.0	0.0503	
0.27	0.12	0.1737	0.2384	0.1353	1.0	0.0971	1.0	0.051	
0.28	0.12	0.1751	0.2387	0.1355	1.0	0.0999	1.0	0.0526	
0.29	0.12	0.1751	0.2387	0.1355	1.0	0.0999	1.0	0.0526	
0.3	0.12	0.1751	0.2387	0.1355	1.0	0.0999	1.0	0.0526	
0.31	0.12	0.1758	0.2388	0.1356	1.0	0.1013	1.0	0.0534	
0.32	0.12	0.1758	0.2388	0.1356	1.0	0.1013	1.0	0.0534	
0.33	0.12	0.1758	0.2388	0.1356	1.0	0.1013	1.0	0.0534	
0.34	0.12	0.1758	0.2388	0.1356	1.0	0.1013	1.0	0.0534	
0.35	0.12	0.1758	0.2388	0.1356	1.0	0.1013	1.0	0.0534	
0.36	0.12	0.1764	0.239	0.1357	1.0	0.1027	1.0	0.0541	
0.37	0.12	0.1771	0.2391	0.1358	1.0	0.1041	1.0	0.0549	
0.38	0.12	0.1771	0.2391	0.1358	1.0	0.1041	1.0	0.0549	
0.39	0.12	0.1771	0.2391	0.1358	1.0	0.1041	1.0	0.0549	
0.4	0.12	0.1771	0.2391	0.1358	1.0	0.1041	1.0	0.0549	
0.41	0.12	0.1778	0.2393	0.1359	1.0	0.1055	1.0	0.0557	
0.42	0.12	0.1778	0.2393	0.1359	1.0	0.1055	1.0	0.0557	
0.43	0.12	0.1785	0.2394	0.136	1.0	0.1069	1.0	0.0565	
0.44	0.12	0.1785	0.2394	0.136	1.0	0.1069	1.0	0.0565	
0.45	0.12	0.1785	0.2394	0.136	1.0	0.1069	1.0	0.0565	
0.46	0.12	0.1785	0.2394	0.136	1.0	0.1069	1.0	0.0565	
0.47	0.12	0.1785	0.2394	0.136	1.0	0.1069	1.0	0.0565	
0.48	0.12	0.1785	0.2394	0.136	1.0	0.1069	1.0	0.0565	
0.49	0.12	0.1785	0.2394	0.136	1.0	0.1069	1.0	0.0565	
0.5	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.51	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.52	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.53	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.54	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.55	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.56	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.57	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.58	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.59	0.12	0.1791	0.2396	0.1361	1.0	0.1083	1.0	0.0572	
0.6	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.61	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.62	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.63	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.64	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.65	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.66	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.67	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.68	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.69	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.7	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.71	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.72	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.73	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.74	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.75	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.76	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.77	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.78	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.79	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.8	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.81	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.82	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.83	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.84	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.85	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.86	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.87	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
0.88	0.12	0.1798	0.2397	0.1362	1.0	0.1096	1.0	0.058	
