Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.022000000000000002	0.078	0.6498	0.3968	0.2552	0.8906	0.7533	0.9742	0.6141	0.5945409647378883
0.022000000000000002	0.08	0.6498	0.3968	0.2552	0.8906	0.7533	0.9742	0.6141	0.5945409647378883
0.022000000000000002	0.08199999999999999	0.6498	0.3968	0.2552	0.8906	0.7533	0.9742	0.6141	0.5945409647378883
0.022000000000000002	0.084	0.6498	0.3968	0.2552	0.8906	0.7533	0.9742	0.6141	0.5945409647378883
0.022000000000000002	0.086	0.6498	0.3968	0.2552	0.8906	0.7533	0.9742	0.6141	0.5945409647378883
0.022000000000000002	0.08800000000000001	0.6492	0.3949	0.2541	0.8854	0.753	0.973	0.6141	0.5914926385529499
0.022000000000000002	0.09	0.6492	0.3949	0.2541	0.8854	0.753	0.973	0.6141	0.5914926385529499
0.022000000000000002	0.092	0.6492	0.3949	0.2541	0.8854	0.753	0.973	0.6141	0.5914926385529499
0.022000000000000002	0.094	0.6498	0.3953	0.2545	0.8854	0.7536	0.9731	0.6148	0.5919257644215613
0.022000000000000002	0.096	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.098	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.1	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.102	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.10400000000000001	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.106	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.10800000000000001	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.11	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.11199999999999999	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.114	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.11599999999999999	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.11800000000000001	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.12	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.122	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.124	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.126	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.128	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.13	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.132	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.134	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.136	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.138	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.14	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.142	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.14400000000000002	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.146	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.14800000000000002	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.15	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.152	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.154	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.156	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.158	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.16	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.162	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.16399999999999998	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.166	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.168	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.17	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.172	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.174	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.17600000000000002	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.17800000000000002	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.18	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.182	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.184	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.18600000000000003	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.188	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.19	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.192	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.19399999999999998	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.196	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.198	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.022000000000000002	0.2	0.6505	0.3958	0.2549	0.8854	0.7541	0.9731	0.6156	0.5923581627296588
0.024	0.02	0.5455	0.3478	0.2135	0.9375	0.6512	0.9813	0.4872	0.5586275467485347
0.024	0.022000000000000002	0.5811	0.3666	0.2278	0.9375	0.6871	0.9827	0.5282	0.5776018283117866
0.024	0.024	0.604	0.3784	0.2374	0.9323	0.7095	0.9822	0.5553	0.5880440512248261
0.024	0.026000000000000002	0.6209	0.386	0.2441	0.9219	0.7258	0.9803	0.5762	0.5927297845440659
0.024	0.027999999999999997	0.6296	0.3889	0.2472	0.9115	0.7343	0.9781	0.5878	0.5928611271904436
0.024	0.03	0.6404	0.3959	0.2529	0.9115	0.7440000000000001	0.9786	0.6002	0.5993405179137851
0.024	0.032	0.6458	0.3982	0.2551	0.9062	0.7490000000000001	0.9776	0.6071	0.5999471088965016
0.024	0.034	0.6505	0.4014	0.2578	0.9062	0.7532	0.9778	0.6125	0.6029172086301229
0.024	0.036000000000000004	0.6545	0.4042	0.2601	0.9062	0.7568	0.9779	0.6172	0.6054212986746121
0.024	0.038	0.6606	0.4071	0.2629	0.9009999999999999	0.7623	0.977	0.6249	0.6065576667008092
0.024	0.04	0.6667	0.4114	0.2666	0.9009999999999999	0.7675	0.9773	0.6319	0.6104671139575073
0.024	0.042	0.6694	0.4134	0.2682	0.9009999999999999	0.7698	0.9774	0.635	0.6121395278143682
0.024	0.044000000000000004	0.6694	0.4134	0.2682	0.9009999999999999	0.7698	0.9774	0.635	0.6121395278143682
0.024	0.046	0.6714	0.4149	0.2695	0.9009999999999999	0.7715	0.9775	0.6373	0.6134903991915108
0.024	0.048	0.6734	0.4164	0.2707	0.9009999999999999	0.7733	0.9775	0.6396	0.6147310716806129
0.024	0.05	0.6734	0.4164	0.2707	0.9009999999999999	0.7733	0.9775	0.6396	0.6147310716806129
0.024	0.052000000000000005	0.6741	0.4169	0.2712	0.9009999999999999	0.7738	0.9776	0.6404	0.6152462483633799
0.024	0.054000000000000006	0.6741	0.4169	0.2712	0.9009999999999999	0.7738	0.9776	0.6404	0.6152462483633799
0.024	0.055999999999999994	0.6741	0.4169	0.2712	0.9009999999999999	0.7738	0.9776	0.6404	0.6152462483633799
0.024	0.057999999999999996	0.6761	0.4184	0.2724	0.9009999999999999	0.7755	0.9776	0.6427	0.616478448708932
0.024	0.06	0.6768	0.4189	0.2729	0.9009999999999999	0.7761	0.9777	0.6435	0.6169901134196526
0.024	0.062	0.6774	0.4194	0.2733	0.9009999999999999	0.7767	0.9777	0.6442	0.6173987062481194
0.024	0.064	0.6774	0.418	0.2726	0.8958	0.7769	0.9766	0.645	0.6147293323935152
0.024	0.066	0.6774	0.418	0.2726	0.8958	0.7769	0.9766	0.645	0.6147293323935152
0.024	0.068	0.6795	0.4195	0.2739	0.8958	0.7786	0.9767	0.6473	0.6160480566435673
0.024	0.07	0.6795	0.4195	0.2739	0.8958	0.7786	0.9767	0.6473	0.6160480566435673
0.024	0.07200000000000001	0.6808	0.4205	0.2748	0.8958	0.7797	0.9767	0.6489	0.616956992481203
0.024	0.07400000000000001	0.6801	0.4186	0.2736	0.8906	0.7794	0.9756	0.6489	0.6137737027707809
0.024	0.076	0.6801	0.4186	0.2736	0.8906	0.7794	0.9756	0.6489	0.6137737027707809
0.024	0.078	0.6801	0.4186	0.2736	0.8906	0.7794	0.9756	0.6489	0.6137737027707809
0.024	0.08	0.6801	0.4186	0.2736	0.8906	0.7794	0.9756	0.6489	0.6137737027707809
0.024	0.08199999999999999	0.6801	0.4186	0.2736	0.8906	0.7794	0.9756	0.6489	0.6137737027707809
0.024	0.084	0.6801	0.4186	0.2736	0.8906	0.7794	0.9756	0.6489	0.6137737027707809
0.024	0.086	0.6801	0.4186	0.2736	0.8906	0.7794	0.9756	0.6489	0.6137737027707809
0.024	0.08800000000000001	0.6795	0.4167	0.2724	0.8854	0.779	0.9744	0.6489	0.6105897721518988
0.024	0.09	0.6795	0.4167	0.2724	0.8854	0.779	0.9744	0.6489	0.6105897721518988
0.024	0.092	0.6795	0.4167	0.2724	0.8854	0.779	0.9744	0.6489	0.6105897721518988
0.024	0.094	0.6801	0.4172	0.2729	0.8854	0.7796	0.9745	0.6497	0.6110917046029337
0.024	0.096	0.6808	0.4177	0.2733	0.8854	0.7801	0.9745	0.6504	0.6114925199636106
0.024	0.098	0.6808	0.4177	0.2733	0.8854	0.7801	0.9745	0.6504	0.6114925199636106
0.024	0.1	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.102	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.10400000000000001	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.106	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.10800000000000001	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.11	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.11199999999999999	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.114	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.11599999999999999	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.11800000000000001	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.12	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.122	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.124	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.126	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.128	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.13	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.132	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.134	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.136	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.138	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.14	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.142	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.14400000000000002	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.146	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.14800000000000002	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
0.024	0.15	0.6815	0.4182	0.2738	0.8854	0.7807	0.9745	0.6512	0.6119926284964152
