Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.05	128	10	0.005	4	48	4	0.19	3.7	4550.06	
MLP	8	0.05	128	10	0.005	8	8	1	0.23	3.73	4490.33	
MLP	8	0.05	128	10	0.005	8	8	2	0.25	3.71	4520.22	
MLP	8	0.05	128	10	0.005	8	8	4	0.22	3.8	4328.21	
MLP	8	0.05	128	10	0.005	8	24	1	0.25	3.63	4733.61	
MLP	8	0.05	128	10	0.005	8	24	2	0.18	3.71	4518.34	
MLP	8	0.05	128	10	0.005	8	24	4	0.19	3.91	4081.52	
MLP	8	0.05	128	10	0.005	8	48	1	0.31	3.87	4150.85	
MLP	8	0.05	128	10	0.005	8	48	2	0.2	3.68	4596.47	
MLP	8	0.05	128	10	0.005	8	48	4	0.19	4.04	3818.32	
MLP	8	0.05	128	10	0.005	16	8	1	0.19	4.1	3715.24	
MLP	8	0.05	128	10	0.005	16	8	2	0.25	3.94	4028.06	
MLP	8	0.05	128	10	0.005	16	8	4	2.51	3.34	497439.77	
MLP	8	0.05	128	10	0.005	16	24	1	0.26	3.95	3997.81	
MLP	8	0.05	128	10	0.005	16	24	2	0.23	3.64	4694.06	
MLP	8	0.05	128	10	0.005	16	24	4	0.19	3.96	3985.96	
MLP	8	0.05	128	10	0.005	16	48	1	0.24	3.66	4655.85	
MLP	8	0.05	128	10	0.005	16	48	2	0.3	3.84	4218.25	
MLP	8	0.05	128	10	0.005	16	48	4	0.19	4.02	3862.94	
MLP	8	0.05	128	20	0.005	4	8	1	0.21	3.79	4342.52	
MLP	8	0.05	128	20	0.005	4	8	2	0.25	3.97	3949.57	
MLP	8	0.05	128	20	0.005	4	8	4	0.24	3.79	4334.96	
MLP	8	0.05	128	20	0.005	4	24	1	0.27	3.71	4523.04	
MLP	8	0.05	128	20	0.005	4	24	2	0.21	3.85	4205.89	
MLP	8	0.05	128	20	0.005	4	24	4	0.25	3.81	4287.66	
MLP	8	0.05	128	20	0.005	4	48	1	0.32	3.64	4691.69	
MLP	8	0.05	128	20	0.005	4	48	2	0.21	3.78	4352.38	
MLP	8	0.05	128	20	0.005	4	48	4	0.19	3.65	4670.9	
MLP	8	0.05	128	20	0.005	8	8	1	0.24	3.72	4509.1	
MLP	8	0.05	128	20	0.005	8	8	2	0.2	3.76	4411.54	
MLP	8	0.05	128	20	0.005	8	8	4	0.22	3.77	4379.2	
MLP	8	0.05	128	20	0.005	8	24	1	0.26	3.8	4313.84	
MLP	8	0.05	128	20	0.005	8	24	2	0.22	3.7	4548.22	
MLP	8	0.05	128	20	0.005	8	24	4	0.19	4.02	4050.0	
MLP	8	0.05	128	20	0.005	8	48	1	0.3	3.62	4746.98	
MLP	8	0.05	128	20	0.005	8	48	2	0.21	3.68	4610.13	
MLP	8	0.05	128	20	0.005	8	48	4	0.18	3.65	4664.19	
MLP	8	0.05	128	20	0.005	16	8	1	0.22	4.45	3484.13	
MLP	8	0.05	128	20	0.005	16	8	2	0.22	3.65	4663.7	
MLP	8	0.05	128	20	0.005	16	8	4	0.24	3.84	4219.66	
MLP	8	0.05	128	20	0.005	16	24	1	0.21	3.73	4481.25	
MLP	8	0.05	128	20	0.005	16	24	2	0.22	3.74	4463.11	
MLP	8	0.05	128	20	0.005	16	24	4	0.19	3.96	3976.98	
MLP	8	0.05	128	20	0.005	16	48	1	0.29	3.71	4522.89	
MLP	8	0.05	128	20	0.005	16	48	2	0.31	3.71	4512.78	
MLP	8	0.05	128	20	0.005	16	48	4	0.2	3.85	4208.56	
MLP	8	0.1	128	1	0.005	4	8	1	0.33	4.97	2582.07	
MLP	8	0.1	128	1	0.005	4	8	2	0.34	4.83	2712.54	
MLP	8	0.1	128	1	0.005	4	8	4	0.38	4.15	3686.52	
MLP	8	0.1	128	1	0.005	4	24	1	0.41	4.56	3040.89	
MLP	8	0.1	128	1	0.005	4	24	2	0.32	4.15	3714.32	
MLP	8	0.1	128	1	0.005	4	24	4	0.28	4.01	3935.15	
MLP	8	0.1	128	1	0.005	4	48	1	0.48	4.69	3124.94	
MLP	8	0.1	128	1	0.005	4	48	2	0.34	4.08	3788.25	
MLP	8	0.1	128	1	0.005	4	48	4	0.29	4.24	3493.91	
MLP	8	0.1	128	1	0.005	8	8	1	0.32	3.84	4294.54	
MLP	8	0.1	128	1	0.005	8	8	2	0.3	4.39	3293.22	
MLP	8	0.1	128	1	0.005	8	8	4	0.34	3.93	4120.82	
MLP	8	0.1	128	1	0.005	8	24	1	0.31	4.23	3519.46	
MLP	8	0.1	128	1	0.005	8	24	2	0.31	3.82	4327.35	
MLP	8	0.1	128	1	0.005	8	24	4	0.29	4.68	2938.74	
MLP	8	0.1	128	1	0.005	8	48	1	0.36	4.07	3792.41	
MLP	8	0.1	128	1	0.005	8	48	2	0.35	4.36	3310.85	
MLP	8	0.1	128	1	0.005	8	48	4	0.33	4.02	3900.33	
MLP	8	0.1	128	1	0.005	16	8	1	0.34	4.33	3409.18	
MLP	8	0.1	128	1	0.005	16	8	2	0.33	4.29	3389.19	
MLP	8	0.1	128	1	0.005	16	8	4	0.3	4.3	3376.18	
MLP	8	0.1	128	1	0.005	16	24	1	0.35	4.16	3631.5	
MLP	8	0.1	128	1	0.005	16	24	2	0.31	4.44	3183.2	
MLP	8	0.1	128	1	0.005	16	24	4	0.31	3.32	5721.99	
MLP	8	0.1	128	1	0.005	16	48	1	0.42	3.98	3963.09	
MLP	8	0.1	128	1	0.005	16	48	2	0.33	4.96	2558.85	
MLP	8	0.1	128	1	0.005	16	48	4	0.3	3.61	4811.86	
MLP	8	0.1	128	5	0.005	4	8	1	0.36	4.01	3906.3	
MLP	8	0.1	128	5	0.005	4	8	2	0.33	4.27	3457.09	
MLP	8	0.1	128	5	0.005	4	8	4	0.37	4.19	3570.87	
MLP	8	0.1	128	5	0.005	4	24	1	0.36	3.58	4886.81	
MLP	8	0.1	128	5	0.005	4	24	2	0.31	4.09	3737.82	
MLP	8	0.1	128	5	0.005	4	24	4	0.3	3.86	4211.09	
MLP	8	0.1	128	5	0.005	4	48	1	0.47	4.11	3695.89	
MLP	8	0.1	128	5	0.005	4	48	2	0.32	4.17	3588.15	
MLP	8	0.1	128	5	0.005	4	48	4	0.29	3.92	4071.76	
MLP	8	0.1	128	5	0.005	8	8	1	0.3	3.84	4238.33	
MLP	8	0.1	128	5	0.005	8	8	2	0.31	3.98	3946.23	
MLP	8	0.1	128	5	0.005	8	8	4	0.32	3.9	4108.4	
MLP	8	0.1	128	5	0.005	8	24	1	0.31	3.81	4307.29	
MLP	8	0.1	128	5	0.005	8	24	2	0.32	4.11	3710.64	
MLP	8	0.1	128	5	0.005	8	24	4	0.29	4.45	3164.72	
MLP	8	0.1	128	5	0.005	8	48	1	0.4	3.81	4309.11	
MLP	8	0.1	128	5	0.005	8	48	2	0.37	4.1	3719.95	
MLP	8	0.1	128	5	0.005	8	48	4	0.31	3.84	4242.38	
MLP	8	0.1	128	5	0.005	16	8	1	0.32	4.12	3684.87	
MLP	8	0.1	128	5	0.005	16	8	2	0.3	3.99	3925.36	
MLP	8	0.1	128	5	0.005	16	8	4	0.34	3.95	4006.1	
MLP	8	0.1	128	5	0.005	16	24	1	0.35	3.77	4408.84	
MLP	8	0.1	128	5	0.005	16	24	2	0.31	3.86	4209.08	
MLP	8	0.1	128	5	0.005	16	24	4	0.31	4.57	3304.69	
MLP	8	0.1	128	5	0.005	16	48	1	0.34	4.32	3698.83	
MLP	8	0.1	128	5	0.005	16	48	2	0.32	4.39	3522.23	
MLP	8	0.1	128	5	0.005	16	48	4	0.35	3.91	4091.32	
MLP	8	0.1	128	10	0.005	4	8	1	0.39	3.96	3975.4	
MLP	8	0.1	128	10	0.005	4	8	2	0.31	4.18	3573.11	
MLP	8	0.1	128	10	0.005	4	8	4	0.35	4.1	3710.48	
MLP	8	0.1	128	10	0.005	4	24	1	0.32	4.04	3822.31	
MLP	8	0.1	128	10	0.005	4	24	2	0.31	4.58	3195.03	
MLP	8	0.1	128	10	0.005	4	24	4	0.32	4.05	3798.03	
MLP	8	0.1	128	10	0.005	4	48	1	0.33	4.09	3722.37	
MLP	8	0.1	128	10	0.005	4	48	2	0.33	4.07	3767.86	
MLP	8	0.1	128	10	0.005	4	48	4	0.31	4.88	2843.24	
MLP	8	0.1	128	10	0.005	8	8	1	0.33	4.15	3608.53	
MLP	8	0.1	128	10	0.005	8	8	2	0.34	4.14	3643.85	
MLP	8	0.1	128	10	0.005	8	8	4	0.34	3.95	4008.61	
MLP	8	0.1	128	10	0.005	8	24	1	0.35	3.96	3974.81	
MLP	8	0.1	128	10	0.005	8	24	2	0.33	4.15	3625.69	
MLP	8	0.1	128	10	0.005	8	24	4	0.3	4.59	3231.4	
MLP	8	0.1	128	10	0.005	8	48	1	0.37	3.84	4221.79	
MLP	8	0.1	128	10	0.005	8	48	2	0.33	4.02	3846.34	
MLP	8	0.1	128	10	0.005	8	48	4	0.29	4.86	2672.59	
MLP	8	0.1	128	10	0.005	16	8	1	0.32	4.22	3506.79	
MLP	8	0.1	128	10	0.005	16	8	2	0.33	3.87	4155.53	
MLP	8	0.1	128	10	0.005	16	8	4	0.32	3.97	3963.64	
MLP	8	0.1	128	10	0.005	16	24	1	0.31	4.14	3638.92	
MLP	8	0.1	128	10	0.005	16	24	2	0.34	4.12	3669.13	
MLP	8	0.1	128	10	0.005	16	24	4	0.3	4.46	3286.93	
MLP	8	0.1	128	10	0.005	16	48	1	0.34	4.87	2591.5	
MLP	8	0.1	128	10	0.005	16	48	2	0.33	3.83	4250.38	
MLP	8	0.1	128	10	0.005	16	48	4	0.35	4.14	3644.99	
MLP	8	0.1	128	20	0.005	4	8	1	0.33	3.84	4221.48	
MLP	8	0.1	128	20	0.005	4	8	2	0.33	3.91	4072.89	
MLP	8	0.1	128	20	0.005	4	8	4	0.35	4.07	3765.07	
MLP	8	0.1	128	20	0.005	4	24	1	0.31	4.27	3413.61	
MLP	8	0.1	128	20	0.005	4	24	2	0.3	4.73	2950.31	
MLP	8	0.1	128	20	0.005	4	24	4	0.3	3.92	4060.22	
MLP	8	0.1	128	20	0.005	4	48	1	0.46	4.01	3878.95	
MLP	8	0.1	128	20	0.005	4	48	2	0.35	3.92	4060.06	
MLP	8	0.1	128	20	0.005	4	48	4	0.29	4.85	2803.88	
MLP	8	0.1	128	20	0.005	8	8	1	0.33	4.1	3697.1	
MLP	8	0.1	128	20	0.005	8	8	2	0.32	4.05	3805.75	
MLP	8	0.1	128	20	0.005	8	8	4	0.32	3.97	3946.33	
MLP	8	0.1	128	20	0.005	8	24	1	0.31	3.91	4072.16	
MLP	8	0.1	128	20	0.005	8	24	2	0.29	3.95	3992.58	
MLP	8	0.1	128	20	0.005	8	24	4	0.29	3.85	4211.04	
MLP	8	0.1	128	20	0.005	8	48	1	0.37	4.02	3847.7	
MLP	8	0.1	128	20	0.005	8	48	2	0.34	3.86	4180.85	
MLP	8	0.1	128	20	0.005	8	48	4	0.3	3.93	4035.24	
MLP	8	0.1	128	20	0.005	16	8	1	0.34	3.98	3938.67	
MLP	8	0.1	128	20	0.005	16	8	2	0.32	4.71	3191.85	
MLP	8	0.1	128	20	0.005	16	8	4	0.37	3.91	4081.24	
MLP	8	0.1	128	20	0.005	16	24	1	0.33	4.03	3835.03	
MLP	8	0.1	128	20	0.005	16	24	2	0.35	4.12	3660.39	
MLP	8	0.1	128	20	0.005	16	24	4	0.31	4.48	3417.57	
MLP	8	0.1	128	20	0.005	16	48	1	0.35	4.04	3814.38	
MLP	8	0.1	128	20	0.005	16	48	2	0.34	4.31	3710.91	
MLP	8	0.1	128	20	0.005	16	48	4	0.31	4.74	3059.43	
MLP	8	0.5	128	1	0.005	4	8	1	0.99	6.92	1314.9	
MLP	8	0.5	128	1	0.005	4	8	2	0.97	6.77	1368.57	
MLP	8	0.5	128	1	0.005	4	8	4	1.02	6.99	1286.92	
MLP	8	0.5	128	1	0.005	4	24	1	0.91	6.67	1410.47	
MLP	8	0.5	128	1	0.005	4	24	2	0.91	6.99	1280.32	
MLP	8	0.5	128	1	0.005	4	24	4	0.93	6.67	1416.53	
MLP	8	0.5	128	1	0.005	4	48	1	1.02	7.33	1162.37	
MLP	8	0.5	128	1	0.005	4	48	2	0.95	6.61	1432.22	
MLP	8	0.5	128	1	0.005	4	48	4	0.92	7.08	1248.79	
MLP	8	0.5	128	1	0.005	8	8	1	0.98	6.62	1440.13	
MLP	8	0.5	128	1	0.005	8	8	2	0.94	6.6	1445.28	
MLP	8	0.5	128	1	0.005	8	8	4	1.05	6.54	1469.0	
MLP	8	0.5	128	1	0.005	8	24	1	0.94	7.1	1244.26	
MLP	8	0.5	128	1	0.005	8	24	2	0.92	6.98	1289.05	
MLP	8	0.5	128	1	0.005	8	24	4	0.93	6.14	1663.82	
MLP	8	0.5	128	1	0.005	8	48	1	1.08	6.75	1373.68	
MLP	8	0.5	128	1	0.005	8	48	2	0.98	7.07	1249.87	
MLP	8	0.5	128	1	0.005	8	48	4	0.92	6.84	1340.85	
MLP	8	0.5	128	1	0.005	16	8	1	0.94	6.85	1337.78	
MLP	8	0.5	128	1	0.005	16	8	2	0.96	6.6	1432.12	
MLP	8	0.5	128	1	0.005	16	8	4	0.96	6.85	1333.93	
MLP	8	0.5	128	1	0.005	16	24	1	0.9	6.95	1290.27	
MLP	8	0.5	128	1	0.005	16	24	2	0.91	6.96	1291.28	
MLP	8	0.5	128	1	0.005	16	24	4	0.93	7.26	1186.84	
MLP	8	0.5	128	1	0.005	16	48	1	0.97	7.25	1188.92	
MLP	8	0.5	128	1	0.005	16	48	2	0.97	7.12	1233.78	
MLP	8	0.5	128	1	0.005	16	48	4	0.95	6.9	1310.25	
MLP	8	0.5	128	5	0.005	4	8	1	0.98	6.5	1476.93	
MLP	8	0.5	128	5	0.005	4	8	2	0.95	7.37	1151.49	
MLP	8	0.5	128	5	0.005	4	8	4	1.09	7.23	1201.71	
MLP	8	0.5	128	5	0.005	4	24	1	1.01	7.14	1223.79	
MLP	8	0.5	128	5	0.005	4	24	2	0.96	6.71	1388.33	
MLP	8	0.5	128	5	0.005	4	24	4	0.92	7.22	1198.8	
MLP	8	0.5	128	5	0.005	4	48	1	1.02	6.56	1457.63	
MLP	8	0.5	128	5	0.005	4	48	2	0.93	6.8	1348.68	
MLP	8	0.5	128	5	0.005	4	48	4	0.89	6.48	1489.69	
MLP	8	0.5	128	5	0.005	8	8	1	0.96	6.93	1301.5	
MLP	8	0.5	128	5	0.005	8	8	2	0.96	6.95	1290.53	
MLP	8	0.5	128	5	0.005	8	8	4	1.0	6.97	1283.1	
MLP	8	0.5	128	5	0.005	8	24	1	0.95	6.75	1370.9	
MLP	8	0.5	128	5	0.005	8	24	2	0.96	7.37	1151.48	
MLP	8	0.5	128	5	0.005	8	24	4	0.9	6.61	1427.34	
MLP	8	0.5	128	5	0.005	8	48	1	1.04	7.13	1225.99	
MLP	8	0.5	128	5	0.005	8	48	2	0.93	6.87	1321.63	
MLP	8	0.5	128	5	0.005	8	48	4	0.92	7.08	1246.24	
MLP	8	0.5	128	5	0.005	16	8	1	0.95	7.09	1241.13	
MLP	8	0.5	128	5	0.005	16	8	2	0.92	6.82	1338.02	
MLP	8	0.5	128	5	0.005	16	8	4	0.97	6.53	1458.98	
MLP	8	0.5	128	5	0.005	16	24	1	0.92	6.88	1316.97	
MLP	8	0.5	128	5	0.005	16	24	2	0.94	6.99	1276.71	
MLP	8	0.5	128	5	0.005	16	24	4	0.91	7.14	1222.54	
MLP	8	0.5	128	5	0.005	16	48	1	0.97	6.86	1323.57	
MLP	8	0.5	128	5	0.005	16	48	2	0.93	6.74	1373.49	
MLP	8	0.5	128	5	0.005	16	48	4	0.93	6.83	1342.13	
MLP	8	0.5	128	10	0.005	4	8	1	0.93	6.81	1343.27	
MLP	8	0.5	128	10	0.005	4	8	2	0.97	6.85	1328.14	
MLP	8	0.5	128	10	0.005	4	8	4	0.99	6.99	1274.41	
MLP	8	0.5	128	10	0.005	4	24	1	0.96	6.83	1333.92	
MLP	8	0.5	128	10	0.005	4	24	2	0.91	6.92	1299.45	
MLP	8	0.5	128	10	0.005	4	24	4	0.94	6.98	1278.42	
MLP	8	0.5	128	10	0.005	4	48	1	1.01	6.76	1361.38	
MLP	8	0.5	128	10	0.005	4	48	2	0.96	6.93	1296.25	
MLP	8	0.5	128	10	0.005	4	48	4	0.9	6.88	1326.46	
MLP	8	0.5	128	10	0.005	8	8	1	0.96	6.9	1308.02	
MLP	8	0.5	128	10	0.005	8	8	2	0.95	6.84	1330.01	
MLP	8	0.5	128	10	0.005	8	8	4	0.98	7.47	1114.97	
MLP	8	0.5	128	10	0.005	8	24	1	0.97	7.14	1234.97	
MLP	8	0.5	128	10	0.005	8	24	2	0.92	6.78	1355.75	
MLP	8	0.5	128	10	0.005	8	24	4	0.94	6.9	1309.62	
MLP	8	0.5	128	10	0.005	8	48	1	1.0	6.95	1288.16	
MLP	8	0.5	128	10	0.005	8	48	2	0.91	6.79	1351.76	
MLP	8	0.5	128	10	0.005	8	48	4	0.93	6.84	1332.33	
MLP	8	0.5	128	10	0.005	16	8	1	0.91	6.93	1295.86	
MLP	8	0.5	128	10	0.005	16	8	2	0.94	6.87	1317.52	
MLP	8	0.5	128	10	0.005	16	8	4	0.96	6.74	1370.31	
MLP	8	0.5	128	10	0.005	16	24	1	0.94	6.96	1284.14	
MLP	8	0.5	128	10	0.005	16	24	2	0.93	6.89	1326.06	
MLP	8	0.5	128	10	0.005	16	24	4	0.92	6.61	1423.22	
MLP	8	0.5	128	10	0.005	16	48	1	0.98	6.98	1292.65	
MLP	8	0.5	128	10	0.005	16	48	2	0.96	6.78	1355.44	
MLP	8	0.5	128	10	0.005	16	48	4	0.96	6.84	1330.36	
MLP	8	0.5	128	20	0.005	4	8	1	0.97	6.8	1347.76	
MLP	8	0.5	128	20	0.005	4	8	2	1.07	6.92	1300.14	
MLP	8	0.5	128	20	0.005	4	8	4	0.99	7.0	1268.77	
MLP	8	0.5	128	20	0.005	4	24	1	0.93	6.97	1279.33	
MLP	8	0.5	128	20	0.005	4	24	2	0.9	7.11	1236.78	
MLP	8	0.5	128	20	0.005	4	24	4	0.93	6.95	1288.94	
MLP	8	0.5	128	20	0.005	4	48	1	1.21	6.79	1359.43	
MLP	8	0.5	128	20	0.005	4	48	2	0.94	6.99	1273.46	
MLP	8	0.5	128	20	0.005	4	48	4	0.91	6.88	1315.38	
MLP	8	0.5	128	20	0.005	8	8	1	0.97	7.02	1261.79	
MLP	8	0.5	128	20	0.005	8	8	2	0.94	6.91	1307.51	
MLP	8	0.5	128	20	0.005	8	8	4	0.92	6.65	1406.3	
MLP	8	0.5	128	20	0.005	8	24	1	0.95	7.05	1251.67	
MLP	8	0.5	128	20	0.005	8	24	2	0.92	7.11	1248.0	
MLP	8	0.5	128	20	0.005	8	24	4	0.91	6.8	1346.29	
MLP	8	0.5	128	20	0.005	8	48	1	0.98	6.9	1308.32	
MLP	8	0.5	128	20	0.005	8	48	2	0.92	7.29	1185.03	
MLP	8	0.5	128	20	0.005	8	48	4	0.92	6.88	1326.99	
MLP	8	0.5	128	20	0.005	16	8	1	0.95	6.77	1356.05	
MLP	8	0.5	128	20	0.005	16	8	2	0.95	6.82	1336.13	
MLP	8	0.5	128	20	0.005	16	8	4	0.98	7.05	1252.54	
MLP	8	0.5	128	20	0.005	16	24	1	0.93	6.79	1348.56	
MLP	8	0.5	128	20	0.005	16	24	2	0.9	7.04	1265.95	
MLP	8	0.5	128	20	0.005	16	24	4	0.92	6.72	1386.15	
MLP	8	0.5	128	20	0.005	16	48	1	1.01	6.94	1296.84	
MLP	8	0.5	128	20	0.005	16	48	2	0.95	6.78	1361.82	
MLP	8	0.5	128	20	0.005	16	48	4	0.92	7.07	1244.99	
MLP	8	0.05	128	1	0.01	4	8	1	0.26	4.17	3700.25	
MLP	8	0.05	128	1	0.01	4	8	2	0.27	4.27	3532.13	
MLP	8	0.05	128	1	0.01	4	8	4	0.2	3.88	4243.88	
MLP	8	0.05	128	1	0.01	4	24	1	0.25	3.64	4782.81	
MLP	8	0.05	128	1	0.01	4	24	2	0.24	4.02	3927.07	
MLP	8	0.05	128	1	0.01	4	24	4	0.2	4.39	3299.14	
MLP	8	0.05	128	1	0.01	4	48	1	0.71	3.22	6055.42	
MLP	8	0.05	128	1	0.01	4	48	2	0.54	3.56	4965.23	
MLP	8	0.05	128	1	0.01	4	48	4	0.22	4.01	3917.3	
MLP	8	0.05	128	1	0.01	8	8	1	0.22	4.28	3489.08	
MLP	8	0.05	128	1	0.01	8	8	2	0.31	3.48	5238.38	
MLP	8	0.05	128	1	0.01	8	8	4	0.23	3.75	4524.91	
MLP	8	0.05	128	1	0.01	8	24	1	0.28	4.17	3609.45	
MLP	8	0.05	128	1	0.01	8	24	2	0.22	3.87	4220.09	
MLP	8	0.05	128	1	0.01	8	24	4	0.29	3.87	4200.39	
MLP	8	0.05	128	1	0.01	8	48	1	0.62	3.3	5792.73	
MLP	8	0.05	128	1	0.01	8	48	2	0.3	4.56	3010.83	
MLP	8	0.05	128	1	0.01	8	48	4	0.23	3.47	5258.68	
MLP	8	0.05	128	1	0.01	16	8	1	0.24	4.04	3904.44	
MLP	8	0.05	128	1	0.01	16	8	2	0.19	4.03	3866.85	
MLP	8	0.05	128	1	0.01	16	8	4	0.19	3.85	4206.04	
MLP	8	0.05	128	1	0.01	16	24	1	0.24	3.5	5132.81	
MLP	8	0.05	128	1	0.01	16	24	2	0.22	4.43	3179.49	
MLP	8	0.05	128	1	0.01	16	24	4	0.23	3.49	5133.16	
MLP	8	0.05	128	1	0.01	16	48	1	0.29	4.07	3764.98	
MLP	8	0.05	128	1	0.01	16	48	2	0.26	4.59	2957.61	
MLP	8	0.05	128	1	0.01	16	48	4	0.32	3.41	5390.02	
MLP	8	0.05	128	5	0.01	4	8	1	0.25	3.95	4010.65	
MLP	8	0.05	128	5	0.01	4	8	2	0.19	3.67	4640.7	
MLP	8	0.05	128	5	0.01	4	8	4	0.23	3.74	4457.74	
MLP	8	0.05	128	5	0.01	4	24	1	0.36	3.83	4266.79	
MLP	8	0.05	128	5	0.01	4	24	2	0.29	3.81	4302.06	
MLP	8	0.05	128	5	0.01	4	24	4	0.23	3.56	4935.61	
MLP	8	0.05	128	5	0.01	4	48	1	3.64	3.73	4499.02	
MLP	8	0.05	128	5	0.01	4	48	2	0.33	4.15	3622.04	
MLP	8	0.05	128	5	0.01	4	48	4	0.27	3.82	4294.73	
MLP	8	0.05	128	5	0.01	8	8	1	0.2	3.74	4470.88	
MLP	8	0.05	128	5	0.01	8	8	2	0.23	3.72	4510.28	
MLP	8	0.05	128	5	0.01	8	8	4	0.23	3.84	4246.03	
MLP	8	0.05	128	5	0.01	8	24	1	0.24	3.57	4892.62	
MLP	8	0.05	128	5	0.01	8	24	2	0.19	3.81	4292.1	
MLP	8	0.05	128	5	0.01	8	24	4	0.21	3.79	4342.96	
MLP	8	0.05	128	5	0.01	8	48	1	1.72	4.5	3081.31	
MLP	8	0.05	128	5	0.01	8	48	2	0.31	3.49	5122.95	
MLP	8	0.05	128	5	0.01	8	48	4	0.25	3.93	4051.43	
MLP	8	0.05	128	5	0.01	16	8	1	0.23	3.93	4043.04	
MLP	8	0.05	128	5	0.01	16	8	2	0.2	3.71	4545.79	
MLP	8	0.05	128	5	0.01	16	8	4	0.2	3.78	4364.24	
MLP	8	0.05	128	5	0.01	16	24	1	0.26	3.82	4274.93	
MLP	8	0.05	128	5	0.01	16	24	2	0.21	4.05	3807.74	
MLP	8	0.05	128	5	0.01	16	24	4	0.22	3.78	4356.58	
MLP	8	0.05	128	5	0.01	16	48	1	0.44	3.86	4174.69	
MLP	8	0.05	128	5	0.01	16	48	2	0.53	3.65	4674.71	
MLP	8	0.05	128	5	0.01	16	48	4	0.24	3.75	4428.06	
MLP	8	0.05	128	10	0.01	4	8	1	0.23	3.91	4076.49	
MLP	8	0.05	128	10	0.01	4	8	2	0.23	3.67	4634.2	
MLP	8	0.05	128	10	0.01	4	8	4	0.21	3.63	4738.77	
MLP	8	0.05	128	10	0.01	4	24	1	0.28	3.85	4199.78	
MLP	8	0.05	128	10	0.01	4	24	2	0.2	3.68	4588.44	
MLP	8	0.05	128	10	0.01	4	24	4	0.19	3.72	4509.29	
MLP	8	0.05	128	10	0.01	4	48	1	1.07	3.52	5049.25	
MLP	8	0.05	128	10	0.01	4	48	2	0.39	3.73	4484.28	
MLP	8	0.05	128	10	0.01	4	48	4	0.22	3.77	4386.26	
MLP	8	0.05	128	10	0.01	8	8	1	0.23	3.64	4690.11	
MLP	8	0.05	128	10	0.01	8	8	2	0.2	3.77	4380.48	
MLP	8	0.05	128	10	0.01	8	8	4	0.2	3.77	4378.16	
MLP	8	0.05	128	10	0.01	8	24	1	0.31	3.79	4342.91	
MLP	8	0.05	128	10	0.01	8	24	2	0.22	3.82	4268.44	
MLP	8	0.05	128	10	0.01	8	24	4	0.21	3.63	4726.81	
MLP	8	0.05	128	10	0.01	8	48	1	0.82	3.79	4330.77	
MLP	8	0.05	128	10	0.01	8	48	2	0.3	3.9	4102.39	
MLP	8	0.05	128	10	0.01	8	48	4	0.22	3.72	4499.82	
MLP	8	0.05	128	10	0.01	16	8	1	0.24	3.94	4017.15	
MLP	8	0.05	128	10	0.01	16	8	2	0.2	3.84	4235.04	
MLP	8	0.05	128	10	0.01	16	8	4	0.27	3.62	4756.75	
MLP	8	0.05	128	10	0.01	16	24	1	0.25	3.98	3929.02	
MLP	8	0.05	128	10	0.01	16	24	2	0.26	4.14	3637.71	
MLP	8	0.05	128	10	0.01	16	24	4	0.2	3.66	4655.84	
MLP	8	0.05	128	10	0.01	16	48	1	0.44	4.27	3467.56	
MLP	8	0.05	128	10	0.01	16	48	2	0.43	3.75	4420.23	
MLP	8	0.05	128	10	0.01	16	48	4	0.26	3.99	3915.58	
MLP	8	0.05	128	20	0.01	4	8	1	0.25	3.71	4522.59	
MLP	8	0.05	128	20	0.01	4	8	2	0.21	3.69	4570.73	
MLP	8	0.05	128	20	0.01	4	8	4	0.2	3.88	4128.68	
MLP	8	0.05	128	20	0.01	4	24	1	0.62	3.82	4258.84	
MLP	8	0.05	128	20	0.01	4	24	2	0.24	3.74	4443.58	
MLP	8	0.05	128	20	0.01	4	24	4	0.22	3.64	4711.24	
MLP	8	0.05	128	20	0.01	4	48	1	0.78	3.73	4486.7	
MLP	8	0.05	128	20	0.01	4	48	2	0.43	3.77	4390.81	
MLP	8	0.05	128	20	0.01	4	48	4	0.24	3.78	4368.59	
MLP	8	0.05	128	20	0.01	8	8	1	0.26	3.54	4982.26	
MLP	8	0.05	128	20	0.01	8	8	2	0.2	3.78	4357.74	
MLP	8	0.05	128	20	0.01	8	8	4	0.21	3.7	4545.53	
MLP	8	0.05	128	20	0.01	8	24	1	0.5	3.83	4253.68	
MLP	8	0.05	128	20	0.01	8	24	2	0.24	3.51	5041.8	
MLP	8	0.05	128	20	0.01	8	24	4	0.19	3.79	4339.04	
MLP	8	0.05	128	20	0.01	8	48	1	0.5	3.59	4839.35	
MLP	8	0.05	128	20	0.01	8	48	2	0.36	3.86	4180.58	
MLP	8	0.05	128	20	0.01	8	48	4	0.28	3.65	4666.9	
MLP	8	0.05	128	20	0.01	16	8	1	0.23	3.59	4820.04	
MLP	8	0.05	128	20	0.01	16	8	2	0.23	3.75	4439.28	
MLP	8	0.05	128	20	0.01	16	8	4	2.5	0.0	117844.24	
MLP	8	0.05	128	20	0.01	16	24	1	0.29	3.55	4950.04	
MLP	8	0.05	128	20	0.01	16	24	2	0.25	4.04	4289.73	
