Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.1	128	10	0.0005	16	48	1	0.3	4.48	3458.47	
MLP	8	0.1	128	10	0.0005	16	48	2	0.31	5.03	2778.05	
MLP	8	0.1	128	10	0.0005	16	48	4	0.38	4.87	2937.39	
MLP	8	0.1	128	20	0.0005	4	8	1	0.71	3.95	4018.27	
MLP	8	0.1	128	20	0.0005	4	8	2	0.59	3.86	4212.02	
MLP	8	0.1	128	20	0.0005	4	8	4	1.01	3.88	4179.41	
MLP	8	0.1	128	20	0.0005	4	24	1	0.35	4.36	3460.42	
MLP	8	0.1	128	20	0.0005	4	24	2	0.44	4.78	2874.0	
MLP	8	0.1	128	20	0.0005	4	24	4	0.56	4.45	3188.21	
MLP	8	0.1	128	20	0.0005	4	48	1	0.34	4.75	2936.16	
MLP	8	0.1	128	20	0.0005	4	48	2	0.32	4.71	3222.27	
MLP	8	0.1	128	20	0.0005	4	48	4	0.34	4.66	3277.74	
MLP	8	0.1	128	20	0.0005	8	8	1	0.5	4.38	3333.31	
MLP	8	0.1	128	20	0.0005	8	8	2	0.75	3.99	3929.5	
MLP	8	0.1	128	20	0.0005	8	8	4	0.71	4.1	3735.31	
MLP	8	0.1	128	20	0.0005	8	24	1	0.46	4.7	3234.4	
MLP	8	0.1	128	20	0.0005	8	24	2	0.49	4.43	3225.92	
MLP	8	0.1	128	20	0.0005	8	24	4	0.42	3.98	3963.34	
MLP	8	0.1	128	20	0.0005	8	48	1	0.34	4.82	2876.25	
MLP	8	0.1	128	20	0.0005	8	48	2	0.33	4.01	3923.82	
MLP	8	0.1	128	20	0.0005	8	48	4	0.35	4.42	3653.73	
MLP	8	0.1	128	20	0.0005	16	8	1	0.53	4.24	3490.12	
MLP	8	0.1	128	20	0.0005	16	8	2	0.65	4.09	3754.94	
MLP	8	0.1	128	20	0.0005	16	8	4	0.79	4.13	3677.1	
MLP	8	0.1	128	20	0.0005	16	24	1	0.35	4.52	3100.11	
MLP	8	0.1	128	20	0.0005	16	24	2	0.34	4.24	3488.0	
MLP	8	0.1	128	20	0.0005	16	24	4	0.4	4.72	3130.08	
MLP	8	0.1	128	20	0.0005	16	48	1	0.32	4.58	3224.71	
MLP	8	0.1	128	20	0.0005	16	48	2	0.35	4.28	3365.82	
MLP	8	0.1	128	20	0.0005	16	48	4	0.34	4.32	3519.33	
MLP	8	0.5	128	1	0.0005	4	8	1	1.45	6.72	1394.09	
MLP	8	0.5	128	1	0.0005	4	8	2	1.58	6.54	1501.5	
MLP	8	0.5	128	1	0.0005	4	8	4	1.55	6.11	1692.6	
MLP	8	0.5	128	1	0.0005	4	24	1	1.04	6.91	1312.69	
MLP	8	0.5	128	1	0.0005	4	24	2	1.19	6.62	1466.04	
MLP	8	0.5	128	1	0.0005	4	24	4	1.18	6.69	1411.92	
MLP	8	0.5	128	1	0.0005	4	48	1	0.95	6.67	1408.54	
MLP	8	0.5	128	1	0.0005	4	48	2	0.98	6.92	1319.53	
MLP	8	0.5	128	1	0.0005	4	48	4	1.02	6.72	1388.0	
MLP	8	0.5	128	1	0.0005	8	8	1	1.3	6.69	1414.19	
MLP	8	0.5	128	1	0.0005	8	8	2	1.34	6.88	1339.99	
MLP	8	0.5	128	1	0.0005	8	8	4	1.4	5.83	1868.99	
MLP	8	0.5	128	1	0.0005	8	24	1	1.04	7.14	1238.2	
MLP	8	0.5	128	1	0.0005	8	24	2	1.06	6.78	1359.76	
MLP	8	0.5	128	1	0.0005	8	24	4	1.12	6.97	1293.38	
MLP	8	0.5	128	1	0.0005	8	48	1	0.96	7.16	1242.15	
MLP	8	0.5	128	1	0.0005	8	48	2	0.96	6.76	1371.48	
MLP	8	0.5	128	1	0.0005	8	48	4	0.96	6.58	1470.31	
MLP	8	0.5	128	1	0.0005	16	8	1	1.28	6.96	1309.63	
MLP	8	0.5	128	1	0.0005	16	8	2	1.47	5.67	1970.4	
MLP	8	0.5	128	1	0.0005	16	8	4	1.41	6.19	1675.04	
MLP	8	0.5	128	1	0.0005	16	24	1	0.97	6.99	1283.71	
MLP	8	0.5	128	1	0.0005	16	24	2	1.03	7.09	1248.6	
MLP	8	0.5	128	1	0.0005	16	24	4	1.07	6.36	1553.21	
MLP	8	0.5	128	1	0.0005	16	48	1	0.94	6.99	1291.31	
MLP	8	0.5	128	1	0.0005	16	48	2	0.97	7.11	1250.58	
MLP	8	0.5	128	1	0.0005	16	48	4	0.96	7.04	1265.44	
MLP	8	0.5	128	5	0.0005	4	8	1	1.48	7.07	1249.76	
MLP	8	0.5	128	5	0.0005	4	8	2	1.45	6.74	1387.73	
MLP	8	0.5	128	5	0.0005	4	8	4	1.6	6.74	1380.07	
MLP	8	0.5	128	5	0.0005	4	24	1	1.06	6.55	1466.87	
MLP	8	0.5	128	5	0.0005	4	24	2	1.16	6.9	1332.31	
