Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.022	0.076	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.078	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.08	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.08199999999999999	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.084	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.086	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.08800000000000001	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.09	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.092	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.094	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.096	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.098	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.1	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.102	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.104	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
0.022	0.106	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.108	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.11	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.112	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.114	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.116	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.118	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.12	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.122	0.3232	0.2733	0.1587	0.9844	0.3667	0.9898	0.2251	0.4824119318181818
0.022	0.124	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.126	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.128	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.13	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.132	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.134	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.136	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.138	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.14	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.142	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.14400000000000002	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.146	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.14800000000000002	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.15	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.152	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.154	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.156	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.158	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.16	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.162	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.16399999999999998	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.166	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.168	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.17	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.172	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.174	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.17600000000000002	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.17800000000000002	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.18	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.182	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.184	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.18600000000000005	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.188	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.19	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.192	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.194	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.196	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.198	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.022	0.2	0.3239	0.2735	0.1588	0.9844	0.3678	0.9898	0.2258	0.4825966905408744
0.024	0.02	0.2579	0.2574	0.1478	0.9948	0.2584	0.9948	0.1485	0.4635291298865069
0.024	0.022	0.2687	0.2602	0.1497	0.9948	0.277	0.9952	0.1609	0.4672488704819277
0.024	0.024	0.2781	0.2627	0.1513	0.9948	0.2929	0.9955	0.1717	0.470353875
0.024	0.026	0.2848	0.2645	0.1526	0.9948	0.3041	0.9957	0.1794	0.472858460004984
0.024	0.028	0.2983	0.2683	0.155	0.9948	0.326	0.996	0.1949	0.4774399306415656
0.024	0.03	0.3098	0.2715	0.1572	0.9948	0.3442	0.9963	0.208	0.4815920177383592
0.024	0.032	0.3145	0.2729	0.1581	0.9948	0.3516	0.9964	0.2135	0.4832776548672567
0.024	0.034	0.3212	0.2748	0.1594	0.9948	0.362	0.9965	0.2212	0.4856993383974516
0.024	0.036000000000000004	0.3239	0.2756	0.16	0.9948	0.3662	0.9966	0.2243	0.4868118424272082
0.024	0.038	0.3273	0.2766	0.1606	0.9948	0.3713	0.9966	0.2282	0.4879210847788908
0.024	0.04	0.3293	0.2772	0.161	0.9948	0.3744	0.9967	0.2305	0.4886587747132048
0.024	0.042	0.332	0.278	0.1616	0.9948	0.3784	0.9967	0.2336	0.4897626127223982
0.024	0.044	0.334	0.2786	0.162	0.9948	0.3815	0.9967	0.2359	0.4904967129291454
0.024	0.046	0.3354	0.279	0.1623	0.9948	0.3835	0.9968	0.2374	0.4910463503649634
0.024	0.048	0.336	0.2792	0.1624	0.9948	0.3845	0.9968	0.2382	0.4912293845779616
0.024	0.05	0.3367	0.2794	0.1626	0.9948	0.3855	0.9968	0.239	0.4915951859956236
0.024	0.052000000000000005	0.3387	0.2801	0.163	0.9948	0.3885	0.9968	0.2413	0.4923257226135536
0.024	0.054000000000000006	0.3394	0.2803	0.1631	0.9948	0.3895	0.9968	0.2421	0.4925081350169985
0.024	0.056	0.3401	0.2805	0.1632	0.9948	0.3905	0.9968	0.2428	0.4926904588492352
0.024	0.058	0.3401	0.2805	0.1632	0.9948	0.3905	0.9968	0.2428	0.4926904588492352
0.024	0.06	0.3407	0.2807	0.1634	0.9948	0.3915	0.9968	0.2436	0.4930548410579956
