Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.08	0.05	0.5158	0.341	0.2069	0.9688	0.6173	0.9898	0.4486	
0.08	0.055	0.5562	0.3583	0.2204	0.9583	0.6608	0.9877	0.4965	
0.08	0.06	0.598	0.3775	0.236	0.9427	0.7031	0.9847	0.5468	
0.08	0.065	0.6263	0.3921	0.2483	0.9323	0.7302	0.983	0.5808	
0.08	0.07	0.6519	0.4078	0.2614	0.9271	0.7535	0.9826	0.611	
0.08	0.075	0.6747	0.4243	0.2751	0.9271	0.7733	0.9833	0.6373	
0.08	0.08	0.6855	0.4326	0.2821	0.9271	0.7825	0.9836	0.6497	
0.08	0.085	0.6949	0.4373	0.2871	0.9167	0.7908	0.9817	0.662	
0.08	0.09	0.7037	0.4444	0.2933	0.9167	0.798	0.9819	0.6721	
0.08	0.095	0.7125	0.4519	0.2998	0.9167	0.8051	0.9822	0.6821	
0.08	0.1	0.7131	0.4496	0.299	0.9062	0.806	0.9801	0.6845	
0.08	0.105	0.7165	0.4525	0.3016	0.9062	0.8087	0.9802	0.6883	
0.08	0.11	0.7165	0.4511	0.3009	0.901	0.8089	0.9791	0.6891	
0.08	0.115	0.7152	0.4456	0.2977	0.8854	0.8083	0.9759	0.6899	
0.08	0.12	0.7152	0.4456	0.2977	0.8854	0.8083	0.9759	0.6899	
0.08	0.125	0.7158	0.4462	0.2982	0.8854	0.8089	0.976	0.6906	
0.08	0.13	0.7152	0.4442	0.297	0.8802	0.8085	0.9749	0.6906	
0.08	0.135	0.7145	0.4421	0.2958	0.875	0.8081	0.9738	0.6906	
0.08	0.14	0.7145	0.4421	0.2958	0.875	0.8081	0.9738	0.6906	
0.08	0.145	0.7138	0.4401	0.2945	0.8698	0.8078	0.9728	0.6906	
0.08	0.15	0.7138	0.4401	0.2945	0.8698	0.8078	0.9728	0.6906	
0.085	0.04	0.4586	0.3175	0.1897	0.974	0.5513	0.99	0.3821	
0.085	0.045	0.4909	0.331	0.1994	0.974	0.5891	0.9909	0.4192	
0.085	0.05	0.5178	0.3419	0.2076	0.9688	0.6196	0.9898	0.4509	
0.085	0.055	0.5582	0.3594	0.2212	0.9583	0.6629	0.9877	0.4988	
0.085	0.06	0.6007	0.3778	0.2365	0.9375	0.706	0.9834	0.5507	
0.085	0.065	0.631	0.3938	0.25	0.9271	0.7348	0.9819	0.587	
0.085	0.07	0.6586	0.4111	0.2646	0.9219	0.7596	0.9816	0.6195	
0.085	0.075	0.6848	0.4307	0.281	0.9219	0.7821	0.9825	0.6497	
0.085	0.08	0.6983	0.4414	0.2902	0.9219	0.7934	0.9829	0.6651	
0.085	0.085	0.7138	0.4516	0.3002	0.9115	0.8064	0.9812	0.6845	
0.085	0.09	0.7246	0.4611	0.3086	0.9115	0.815	0.9815	0.6968	
0.085	0.095	0.7367	0.4723	0.3188	0.9115	0.8246	0.9818	0.7108	
0.085	0.1	0.7374	0.4701	0.318	0.901	0.8254	0.9798	0.7131	
0.085	0.105	0.7428	0.4753	0.3228	0.901	0.8296	0.98	0.7193	
0.085	0.11	0.7441	0.4751	0.3233	0.8958	0.8308	0.979	0.7216	
0.085	0.115	0.7428	0.4694	0.3201	0.8802	0.8302	0.976	0.7224	
0.085	0.12	0.7421	0.4673	0.3188	0.875	0.8299	0.9749	0.7224	
0.085	0.125	0.7428	0.468	0.3194	0.875	0.8304	0.975	0.7231	
0.085	0.13	0.7421	0.4658	0.3181	0.8698	0.83	0.974	0.7231	
0.085	0.135	0.7407	0.4615	0.3155	0.8594	0.8293	0.9719	0.7231	
0.085	0.14	0.7407	0.4615	0.3155	0.8594	0.8293	0.9719	0.7231	
0.085	0.145	0.7401	0.4594	0.3142	0.8542	0.8289	0.9709	0.7231	
0.085	0.15	0.7401	0.4594	0.3142	0.8542	0.8289	0.9709	0.7231	
0.09	0.04	0.4593	0.3178	0.1898	0.974	0.5521	0.99	0.3828	
0.09	0.045	0.4923	0.3316	0.1998	0.974	0.5907	0.9909	0.4207	
0.09	0.05	0.5185	0.341	0.2072	0.9635	0.6207	0.9882	0.4524	
0.09	0.055	0.5589	0.3585	0.2207	0.9531	0.6639	0.9863	0.5004	
0.09	0.06	0.6027	0.3776	0.2368	0.9323	0.7082	0.9822	0.5538	
0.09	0.065	0.6357	0.3955	0.2518	0.9219	0.7393	0.9808	0.5932	
0.09	0.07	0.666	0.4151	0.2683	0.9167	0.7663	0.9807	0.6288	
0.09	0.075	0.6936	0.4362	0.2862	0.9167	0.7896	0.9816	0.6605	
0.09	0.08	0.7091	0.4476	0.2966	0.9115	0.8026	0.981	0.679	
0.09	0.085	0.7266	0.4601	0.3089	0.901	0.817	0.9795	0.7007	
0.09	0.09	0.7374	0.4701	0.318	0.901	0.8254	0.9798	0.7131	
0.09	0.095	0.7522	0.4831	0.3308	0.8958	0.837	0.9793	0.7309	
0.09	0.1	0.7582	0.4864	0.3353	0.8854	0.8419	0.9775	0.7394	
0.09	0.105	0.7663	0.4949	0.3434	0.8854	0.848	0.9778	0.7486	
0.09	0.11	0.7677	0.4934	0.3436	0.875	0.8493	0.9759	0.7517	
0.09	0.115	0.767	0.4882	0.3409	0.8594	0.8492	0.973	0.7533	
0.09	0.12	0.7663	0.4859	0.3395	0.8542	0.8488	0.9721	0.7533	
0.09	0.125	0.7677	0.4874	0.341	0.8542	0.8498	0.9721	0.7548	
0.09	0.13	0.767	0.4851	0.3396	0.849	0.8494	0.9711	0.7548	
0.09	0.135	0.7657	0.4806	0.3368	0.8385	0.8487	0.9692	0.7548	
0.09	0.14	0.765	0.4783	0.3354	0.8333	0.8483	0.9683	0.7548	
0.09	0.145	0.7643	0.476	0.334	0.8281	0.848	0.9673	0.7548	
0.09	0.15	0.7643	0.476	0.334	0.8281	0.848	0.9673	0.7548	
0.095	0.04	0.4593	0.3178	0.1898	0.974	0.5521	0.99	0.3828	
0.095	0.045	0.4923	0.3316	0.1998	0.974	0.5907	0.9909	0.4207	
0.095	0.05	0.5185	0.341	0.2072	0.9635	0.6207	0.9882	0.4524	
0.095	0.055	0.5589	0.3585	0.2207	0.9531	0.6639	0.9863	0.5004	
0.095	0.06	0.6027	0.3776	0.2368	0.9323	0.7082	0.9822	0.5538	
0.095	0.065	0.6357	0.3955	0.2518	0.9219	0.7393	0.9808	0.5932	
0.095	0.07	0.6667	0.4142	0.268	0.9115	0.7671	0.9796	0.6303	
0.095	0.075	0.6983	0.4386	0.2888	0.9115	0.7937	0.9807	0.6667	
