Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.022000000000000002	0.122	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.124	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.126	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.128	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.13	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.132	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.134	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.136	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.138	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.14	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.142	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.14400000000000002	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.146	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.14800000000000002	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.15	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.152	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.154	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.156	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
0.022000000000000002	0.158	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	0.42567924030598786
