Path	Red F1
LOSS0.23_8DBS3.72_8CHS4628.61_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS16_F48_S2	0.2287	
LOSS0.23_8DBS3.73_8CHS4490.33_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS8_F8_S1	0.6053	
LOSS0.23_8DBS3.74_8CHS4451.97_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS16_F24_S4	0.6062	
LOSS0.23_8DBS3.74_8CHS4457.74_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS4_F8_S4	0.6295	
LOSS0.23_8DBS3.74_8CHS4614.68_LATENT8_STDEV0.05_BS128_E10_LR0.0005_KS16_F48_S4	0.2287	
LOSS0.23_8DBS3.75_8CHS4439.28_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS16_F8_S2	0.5959	
LOSS0.23_8DBS3.75_8CHS4524.91_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS8_F8_S4	0.6145	
LOSS0.23_8DBS3.81_8CHS4318.73_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS4_F8_S2	0.6412	
LOSS0.23_8DBS3.82_8CHS4443.22_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS4_F24_S4	0.2287	
LOSS0.23_8DBS3.84_8CHS4246.03_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS8_F8_S4	0.6426	
LOSS0.23_8DBS3.85_8CHS4280.89_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS16_F48_S4	0.2287	
LOSS0.23_8DBS3.86_8CHS4317.96_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS8_F48_S4	0.2287	
LOSS0.23_8DBS3.87_8CHS4178.14_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS8_F24_S2	0.6341	
LOSS0.23_8DBS3.87_8CHS4334.77_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS16_F24_S1	0.2287	
LOSS0.23_8DBS3.91_8CHS4076.49_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS4_F8_S1	0.612	
LOSS0.23_8DBS3.93_8CHS4043.04_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS16_F8_S1	0.6514	
LOSS0.23_8DBS3.97_8CHS4654.82_LATENT8_STDEV0.05_BS128_E10_LR0.0005_KS8_F48_S1	0.2287	
LOSS0.23_8DBS4.01_8CHS3900.11_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS16_F48_S4	0.4838	
LOSS0.23_8DBS4.03_8CHS3837.25_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS16_F24_S1	0.4928	
LOSS0.23_8DBS4.11_8CHS3713.71_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F8_S2	0.2287	
LOSS0.23_8DBS4.14_8CHS3839.98_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS4_F24_S4	0.2297	
LOSS0.23_8DBS4.21_8CHS3553.17_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS4_F8_S1	0.5955	
LOSS0.23_8DBS4.25_8CHS3788.91_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS4_F24_S1	0.2438	
LOSS0.23_8DBS4.28_8CHS3599.94_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS4_F48_S1	0.2593	
LOSS0.23_8DBS4.35_8CHS3616.3_LATENT8_STDEV0.05_BS128_E20_LR0.0005_KS8_F48_S2	0.2287	
LOSS0.24_8DBS3.18_8CHS6259.45_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS4_F48_S1	0.2287	
LOSS0.24_8DBS3.46_8CHS5209.64_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS16_F8_S2	0.2287	
LOSS0.24_8DBS3.51_8CHS5041.8_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS8_F24_S2	0.5254	
LOSS0.24_8DBS3.57_8CHS4892.62_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS8_F24_S1	0.64	
LOSS0.24_8DBS3.5_8CHS5132.81_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS16_F24_S1	0.2287	
LOSS0.24_8DBS3.66_8CHS4655.85_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS16_F48_S1	0.6114	
LOSS0.24_8DBS3.71_8CHS4725.64_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS4_F48_S4	0.6347	
LOSS0.24_8DBS3.72_8CHS4509.1_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS8_F8_S1	0.5656	
LOSS0.24_8DBS3.74_8CHS4443.58_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS4_F24_S2	0.4974	
LOSS0.24_8DBS3.75_8CHS4428.06_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS16_F48_S4	0.2287	
LOSS0.24_8DBS3.78_8CHS4368.59_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS4_F48_S4	0.5198	
