Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.05	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.05	0.015	0.1479	0.2326	0.1316	1.0	0.0423	1.0	0.0216	
0.05	0.02	0.1614	0.2354	0.1334	1.0	0.0715	1.0	0.0371	
0.05	0.025	0.3988	0.295	0.1738	0.974	0.476	0.9878	0.3135	
0.05	0.03	0.7169	0.4272	0.2891	0.8177	0.812	0.9629	0.7019	
0.05	0.035	0.8702	0.5885	0.4982	0.7188	0.923	0.9554	0.8927	
0.05	0.04	0.9079	0.6327	0.6519	0.6146	0.9473	0.9433	0.9514	
0.05	0.045	0.9079	0.591	0.6923	0.5156	0.9481	0.9308	0.966	
0.05	0.05	0.9079	0.5732	0.7132	0.4792	0.9484	0.9264	0.9714	
0.05	0.055	0.9038	0.5402	0.7059	0.4375	0.9463	0.9211	0.973	
0.05	0.06	0.9011	0.5212	0.6957	0.4167	0.9449	0.9184	0.973	
0.05	0.065	0.9005	0.5163	0.693	0.4115	0.9445	0.9177	0.973	
0.05	0.07	0.8991	0.5066	0.6875	0.401	0.9438	0.9164	0.973	
0.05	0.075	0.8985	0.4983	0.6881	0.3906	0.9435	0.9151	0.9737	
0.05	0.08	0.8991	0.5	0.6944	0.3906	0.9439	0.9152	0.9745	
0.05	0.085	0.8985	0.495	0.6916	0.3854	0.9436	0.9145	0.9745	
0.05	0.09	0.8978	0.4899	0.6887	0.3802	0.9432	0.9138	0.9745	
0.05	0.095	0.8978	0.4899	0.6887	0.3802	0.9432	0.9138	0.9745	
0.05	0.1	0.8978	0.4899	0.6887	0.3802	0.9432	0.9138	0.9745	
0.055	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.055	0.015	0.1479	0.2326	0.1316	1.0	0.0423	1.0	0.0216	
0.055	0.02	0.1614	0.2354	0.1334	1.0	0.0715	1.0	0.0371	
0.055	0.025	0.3988	0.295	0.1738	0.974	0.476	0.9878	0.3135	
0.055	0.03	0.7169	0.4241	0.2876	0.8073	0.8123	0.961	0.7035	
0.055	0.035	0.8722	0.5852	0.5038	0.6979	0.9245	0.9525	0.8981	
0.055	0.04	0.9139	0.6404	0.6951	0.5938	0.9511	0.941	0.9614	
0.055	0.045	0.9132	0.5852	0.7647	0.474	0.9516	0.9262	0.9784	
0.055	0.05	0.9132	0.5657	0.8	0.4375	0.9518	0.9219	0.9838	
0.055	0.055	0.9079	0.5193	0.7957	0.3854	0.9491	0.9154	0.9853	
0.055	0.06	0.9052	0.4982	0.7865	0.3646	0.9476	0.9127	0.9853	
0.055	0.065	0.9045	0.4929	0.7841	0.3594	0.9473	0.9121	0.9853	
0.055	0.07	0.9018	0.471	0.7738	0.3385	0.9459	0.9095	0.9853	
0.055	0.075	0.9011	0.4615	0.7778	0.3281	0.9456	0.9083	0.9861	
0.055	0.08	0.9018	0.4632	0.7875	0.3281	0.946	0.9083	0.9869	
0.055	0.085	0.9011	0.4576	0.7848	0.3229	0.9456	0.9077	0.9869	
0.055	0.09	0.9005	0.4519	0.7821	0.3177	0.9453	0.907	0.9869	
0.055	0.095	0.8998	0.4461	0.7792	0.3125	0.9449	0.9064	0.9869	
0.055	0.1	0.8998	0.4461	0.7792	0.3125	0.9449	0.9064	0.9869	
0.06	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.06	0.015	0.1486	0.2327	0.1317	1.0	0.0438	1.0	0.0224	
0.06	0.02	0.1621	0.2356	0.1335	1.0	0.0729	1.0	0.0378	
0.06	0.025	0.3995	0.2952	0.174	0.974	0.4769	0.9879	0.3143	
0.06	0.03	0.7182	0.4252	0.2886	0.8073	0.8134	0.9611	0.705	
0.06	0.035	0.8763	0.5893	0.5156	0.6875	0.9272	0.9513	0.9042	
0.06	0.04	0.9193	0.6491	0.74	0.5781	0.9544	0.9394	0.9699	
0.06	0.045	0.9159	0.5704	0.8384	0.4323	0.9534	0.9215	0.9876	
0.06	0.05	0.9159	0.5455	0.9036	0.3906	0.9537	0.9167	0.9938	
0.06	0.055	0.9092	0.4828	0.913	0.3281	0.9502	0.909	0.9954	
0.06	0.06	0.9059	0.4531	0.9062	0.3021	0.9485	0.9058	0.9954	
0.06	0.065	0.9038	0.4348	0.9016	0.2865	0.9474	0.9039	0.9954	
0.06	0.07	0.9011	0.4096	0.8947	0.2656	0.9461	0.9014	0.9954	
0.06	0.075	0.9005	0.3984	0.9074	0.2552	0.9457	0.9002	0.9961	
0.06	0.08	0.9011	0.4	0.9245	0.2552	0.9461	0.9003	0.9969	
0.06	0.085	0.9005	0.3934	0.9231	0.25	0.9458	0.8997	0.9969	
0.06	0.09	0.8998	0.3868	0.9216	0.2448	0.9454	0.899	0.9969	
0.06	0.095	0.8991	0.3802	0.92	0.2396	0.9451	0.8984	0.9969	
0.06	0.1	0.8985	0.3734	0.9184	0.2344	0.9447	0.8978	0.9969	
0.065	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.065	0.015	0.1486	0.2327	0.1317	1.0	0.0438	1.0	0.0224	
0.065	0.02	0.1621	0.2356	0.1335	1.0	0.0729	1.0	0.0378	
0.065	0.025	0.3995	0.2952	0.174	0.974	0.4769	0.9879	0.3143	
0.065	0.03	0.7182	0.4252	0.2886	0.8073	0.8134	0.9611	0.705	
0.065	0.035	0.8756	0.5861	0.5137	0.6823	0.9268	0.9505	0.9042	
0.065	0.04	0.9173	0.6372	0.7347	0.5625	0.9533	0.9373	0.9699	
0.065	0.045	0.9139	0.5556	0.8333	0.4167	0.9523	0.9195	0.9876	
0.065	0.05	0.9146	0.5314	0.9114	0.375	0.953	0.9148	0.9946	
0.065	0.055	0.9079	0.4669	0.9231	0.3125	0.9496	0.9072	0.9961	
0.065	0.06	0.9045	0.4365	0.9167	0.2865	0.9478	0.904	0.9961	
0.065	0.065	0.9025	0.4177	0.9123	0.2708	0.9468	0.9021	0.9961	
0.065	0.07	0.8991	0.3852	0.9038	0.2448	0.9451	0.899	0.9961	
0.065	0.075	0.8978	0.3667	0.9167	0.2292	0.9444	0.8972	0.9969	
0.065	0.08	0.8985	0.3682	0.9362	0.2292	0.9448	0.8972	0.9977	
0.065	0.085	0.8978	0.3613	0.9348	0.224	0.9444	0.8966	0.9977	
0.065	0.09	0.8971	0.3544	0.9333	0.2188	0.9441	0.896	0.9977	
0.065	0.095	0.8964	0.3475	0.9318	0.2135	0.9438	0.8954	0.9977	
0.065	0.1	0.8958	0.3404	0.9302	0.2083	0.9434	0.8947	0.9977	
0.07	0.01	0.1412	0.2312	0.1307	1.0	0.0274	1.0	0.0139	
0.07	0.015	0.1486	0.2327	0.1317	1.0	0.0438	1.0	0.0224	
0.07	0.02	0.1621	0.2356	0.1335	1.0	0.0729	1.0	0.0378	
0.07	0.025	0.3995	0.2952	0.174	0.974	0.4769	0.9879	0.3143	
0.07	0.03	0.7182	0.4252	0.2886	0.8073	0.8134	0.9611	0.705	
0.07	0.035	0.8756	0.5843	0.5138	0.6771	0.9268	0.9498	0.905	
